flight_id,arrival_time,scheduled_time,actual_time,predicted_delay,final_delay,waiting_time,runway,aircraft_type,status
409,357.85,360.4387632402501,2139.85,2286.960693359375,106764.67420558499,106920.0,R1,a555c3,LANDED
410,1382.95,1386.3210022138542,2141.85,2362.66748046875,45331.73986716874,45534.0,R1,a54bac,LANDED
411,1053.3166666666666,1055.442447704086,2143.85,2341.887451171875,65304.45313775484,65432.0,R1,a54e76,LANDED
412,844.5833333333334,848.8457678478695,2145.85,2325.3564453125,77820.25392912782,78076.0,R1,a54e76,LANDED
413,1418.75,1419.829593382119,2147.85,2364.749267578125,43681.22439707286,43746.0,R1,a55b69,LANDED
414,1290.8,1295.6788808431882,2149.85,2350.9697265625,51250.267149408704,51543.0,R1,a55b69,LANDED
415,1246.9833333333331,1251.5545716399442,2151.85,2354.3994140625,54017.72570160334,54292.000000000015,R1,a55b69,LANDED
417,988.95,990.9682576641208,2153.85,2338.45703125,69772.90454015275,69894.0,R1,a55b69,LANDED
416,1161.0333333333333,1165.9575439635655,2155.85,2348.05615234375,59393.547362186066,59689.0,R1,a55b69,LANDED
418,165.55,167.81918859809002,2157.85,1371.2664794921875,119401.8486841146,119538.0,R1,a55b69,LANDED
419,1329.0833333333333,1331.5327137185432,2159.85,2361.485595703125,49699.0371768874,49846.0,R1,a576c4,LANDED
420,1140.1,1144.8951706187472,2161.85,2340.409423828125,61017.28976287516,61305.0,R1,a576c4,LANDED
421,1123.1166666666666,1125.606247628853,2163.85,2336.94580078125,62294.625142268815,62444.0,R1,a5994d,LANDED
422,848.5666666666667,850.7552063311923,2165.85,2319.4912109375,78905.68762012846,79037.0,R1,a5994d,LANDED
423,1291.6666666666667,1292.6863681288798,2167.85,2353.8642578125,52509.8179122672,52571.0,R1,a4a970,LANDED
424,1260.4666666666667,1261.6860224067398,2169.85,2350.877685546875,54489.83865559561,54563.0,R1,a4b421,LANDED
425,1059.05,1060.9500054648584,2171.85,2336.162109375,66653.99967210849,66768.0,R1,a4b421,LANDED
426,1235.4333333333334,1237.9902879160595,1307.4833333333331,2347.673828125,4169.582725036416,4322.999999999985,R2,a4aba1,LANDED
427,1091.5,1093.2725504768453,2173.85,2335.185546875,64834.64697138928,64941.0,R1,a4aba1,LANDED
428,1166.05,1170.573048146204,2175.85,2348.625,60316.61711122776,60588.0,R1,a4c235,LANDED
429,1100.5,1102.2576464675851,2177.85,2339.18017578125,64535.54121194489,64641.0,R1,a4c235,LANDED
430,1034.0333333333333,1036.9660595794985,2179.85,2334.7568359375,68573.03642523008,68749.0,R1,a4c235,LANDED
432,1361.5833333333333,1364.657976496599,2181.85,2360.676025390625,49031.52141020405,49216.0,R1,a4c7eb,LANDED
431,949.3833333333332,952.763506233861,2183.85,2330.5625,73865.18962596834,74068.0,R1,a4c235,LANDED
433,950.8666666666668,952.3416715418856,2185.85,2323.69921875,74010.49970748686,74099.0,R1,a4c7eb,LANDED
434,1293.3666666666666,1297.0085662890947,2187.85,2353.830078125,53450.48602265431,53669.0,R1,a4d687,LANDED
435,1064.45,1065.8211325385632,2189.85,2334.943359375,67441.73204768621,67524.0,R1,a4d687,LANDED
436,1113.5166666666669,1118.3115224054102,2191.85,2334.395263671875,64412.308655675384,64699.999999999985,R1,a4dab6,LANDED
437,514.6,518.0439811161491,2193.85,2297.3603515625,100548.36113303105,100755.0,R1,a4dab6,LANDED
438,1035.8833333333334,1037.6599764193693,2195.85,2333.535400390625,69491.40141483783,69598.0,R1,a4dd1b,LANDED
439,981.1,983.1858762390734,2197.85,2330.850341796875,72879.8474256556,73005.0,R1,a4dd1b,LANDED
440,280.4166666666667,281.4999443840474,2199.85,2287.049072265625,115101.00333695715,115166.0,R1,a4dd1b,LANDED
442,1308.8333333333333,1313.3861156697455,2201.85,2356.470947265625,53307.83305981526,53581.0,R1,a4ede7,LANDED
443,848.5166666666667,851.7111810029932,2203.85,2325.4091796875,81128.3291398204,81320.0,R1,a4ede7,LANDED
441,77.88333333333334,78.96513714304527,2205.85,474.5403747558594,127613.09177141727,127678.0,R1,a4dd1b,LANDED
444,1094.0833333333333,1095.7498296327883,2207.85,2336.83056640625,66726.0102220327,66826.0,R1,a605f0,LANDED
