flight_id,callsign,aircraft_type,wake_category,weather_condition,traffic_density,runway,eta,scheduled_landing,ROT,delay_minutes
205,IGO6753,Unknown,Unknown,Clear,High,R1,0,0,2,0
204,IGO4VP,Unknown,Unknown,Clear,High,R2,1,1,2,0
203,IGO5031,Unknown,Unknown,Clear,High,R1,7,7,2,0
202,IGO155J,Unknown,Unknown,Clear,High,R2,10,10,2,0
201,IGO556,Unknown,Unknown,Clear,High,R1,13,13,2,0
200,AXB2608,Unknown,Unknown,Clear,High,R1,18,18,2,0
199,AXB1089,Unknown,Unknown,Clear,High,R2,21,21,2,0
198,AIC5MA,Unknown,Unknown,Clear,High,R1,23,23,2,0
197,AXB2945,Unknown,Unknown,Clear,High,R1,33,33,2,0
196,IGO6774,Unknown,Unknown,Clear,High,R1,39,39,2,0
195,IGO309,Unknown,Unknown,Clear,High,R2,42,42,2,0
194,IGO116H,Unknown,Unknown,Clear,High,R1,45,45,2,0
193,IGO255V,Unknown,Unknown,Clear,High,R1,50,50,2,0
192,AXB2023,Unknown,Unknown,Clear,High,R2,53,53,2,0
191,IGO6039,Unknown,Unknown,Clear,High,R1,56,56,2,0
190,IGO109,Unknown,Unknown,Clear,High,R2,58,58,2,0
189,IGO622P,Unknown,Unknown,Clear,High,R1,60,60,2,0
188,IGO42RY,Unknown,Unknown,Clear,High,R2,61,62,2,1
187,AXB2506,Unknown,Unknown,Clear,High,R1,63,64,2,1
186,IGO216E,Unknown,Unknown,Clear,High,R2,64,66,2,2
185,IGO6465,Unknown,Unknown,Clear,High,R1,66,68,2,2
184,IGO387W,Unknown,Unknown,Clear,High,R1,72,72,2,0
183,IGO352K,Unknown,Unknown,Clear,High,R1,76,76,2,0
182,IGO746L,Unknown,Unknown,Clear,High,R2,79,79,2,0
181,AXB1527,Unknown,Unknown,Clear,High,R1,80,80,2,0
180,IGO221,Unknown,Unknown,Clear,High,R1,86,86,2,0
179,AXB2913,Unknown,Unknown,Clear,High,R1,96,96,2,0
178,IGO519P,Unknown,Unknown,Clear,High,R1,102,102,2,0
177,AXB1504,Unknown,Unknown,Clear,High,R2,105,105,2,0
176,AKJ2002,Unknown,Unknown,Clear,High,R1,108,108,2,0
175,IGO7HC,Unknown,Unknown,Clear,High,R2,109,109,2,0
174,IGO144,Unknown,Unknown,Clear,High,R1,119,119,2,0
173,AIC6KT,Unknown,Unknown,Clear,High,R1,124,124,2,0
172,AIC6MS,Unknown,Unknown,Clear,High,R1,129,129,2,0
171,IGO6566,Unknown,Unknown,Clear,High,R2,131,131,2,0
170,IGO6034,Unknown,Unknown,Clear,High,R1,134,134,2,0
169,AXB1040,Unknown,Unknown,Clear,High,R1,140,140,2,0
168,IGO738,Unknown,Unknown,Clear,High,R2,142,142,2,0
167,IGO676,Unknown,Unknown,Clear,High,R1,146,146,2,0
166,IGO94ET,Unknown,Unknown,Clear,High,R2,149,149,2,0
165,AXB1541,Unknown,Unknown,Clear,High,R1,154,154,2,0
164,AXB1581,Unknown,Unknown,Clear,High,R2,155,155,2,0
